Customer id,Acquisition Date,Acquisition Channel,Acquisition Device,,,,,,,,,,,,,,,,,,
437722,10/21/14,Search - Paid,,,,,,,,,,,,,,,,,,,
582722,10/19/14,Search - Paid,,,,,,,,,,,,,,,,,,,
569661,10/18/14,Comparison Shopping,,,,,,,,,,,,,,,,,,,
244548,10/18/14,,,,,,,,,,,,,,,,,,,,
556899,10/14/14,,,,,,,,,,,,,,,,,,,,
729023,10/13/14,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
401599,10/8/14,,Desktop,,,,,,,,,,,,,,,,,,
140939,10/4/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
750693,9/24/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
1212047,9/21/14,Social - Paid,,,,,,,,,,,,,,,,,,,
492069,9/21/14,Search - Organic,,,,,,,,,,,,,,,,,,,
835830,9/9/14,Comparison Shopping,,,,,,,,,,,,,,,,,,,
444902,9/7/14,Search - Paid,,,,,,,,,,,,,,,,,,,
1089444,9/2/14,,,,,,,,,,,,,,,,,,,,
58200,8/21/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
17047,8/19/14,Display - Acquisition,,,,,,,,,,,,,,,,,,,
594125,8/18/14,Search - Organic,Phone,,,,,,,,,,,,,,,,,,
358485,8/16/14,,,,,,,,,,,,,,,,,,,,
864125,8/12/14,,,,,,,,,,,,,,,,,,,,
257037,8/11/14,Search - Paid,,,,,,,,,,,,,,,,,,,
546941,8/6/14,Search - Paid,,,,,,,,,,,,,,,,,,,
708533,7/24/14,Comparison Shopping,,,,,,,,,,,,,,,,,,,
558373,7/19/14,,,,,,,,,,,,,,,,,,,,
37773,7/17/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
501239,7/14/14,Search - Paid,,,,,,,,,,,,,,,,,,,
668650,7/13/14,Comparison Shopping,Phone,,,,,,,,,,,,,,,,,,
21521,7/11/14,,,,,,,,,,,,,,,,,,,,
156359,7/7/14,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
30004,7/6/14,,Desktop,,,,,,,,,,,,,,,,,,
33060,7/4/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
320903,7/2/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
887451,6/28/14,Search - Paid,,,,,,,,,,,,,,,,,,,
542192,6/28/14,,Phone,,,,,,,,,,,,,,,,,,
925598,6/25/14,,,,,,,,,,,,,,,,,,,,
190354,6/23/14,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
1028070,6/22/14,Search - Organic,,,,,,,,,,,,,,,,,,,
72484,6/21/14,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
576527,6/19/14,,Phone,,,,,,,,,,,,,,,,,,
524447,6/13/14,Search - Paid,,,,,,,,,,,,,,,,,,,
30326,6/4/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
883961,6/1/14,Search - Paid,,,,,,,,,,,,,,,,,,,
659111,5/30/14,,Phone,,,,,,,,,,,,,,,,,,
16081,5/30/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
1147319,5/26/14,Search - Paid,,,,,,,,,,,,,,,,,,,
1089079,5/24/14,,,,,,,,,,,,,,,,,,,,
88047,5/23/14,,Phone,,,,,,,,,,,,,,,,,,
49537,5/22/14,,,,,,,,,,,,,,,,,,,,
1029961,5/19/14,Display - Acquisition,,,,,,,,,,,,,,,,,,,
256673,5/12/14,Search - Organic,,,,,,,,,,,,,,,,,,,
650977,5/11/14,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
169736,5/10/14,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
90873,5/4/14,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
926308,5/2/14,,,,,,,,,,,,,,,,,,,,
326545,5/2/14,Display - Acquisition,Desktop,,,,,,,,,,,,,,,,,,
154171,4/20/14,Display - Acquisition,Desktop,,,,,,,,,,,,,,,,,,
76070,4/14/14,Other,Phone,,,,,,,,,,,,,,,,,,
759463,4/12/14,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
134296,4/12/14,,,,,,,,,,,,,,,,,,,,
1051252,4/11/14,,,,,,,,,,,,,,,,,,,,
1178770,4/10/14,Search - Organic,,,,,,,,,,,,,,,,,,,
601283,3/20/14,Search - Organic,Tablet,,,,,,,,,,,,,,,,,,
105309,3/20/14,,,,,,,,,,,,,,,,,,,,
174583,3/18/14,,Desktop,,,,,,,,,,,,,,,,,,
387611,3/14/14,Search - Paid,,,,,,,,,,,,,,,,,,,
710445,3/12/14,Search - Organic,,,,,,,,,,,,,,,,,,,
462668,3/6/14,Search - Paid,,,,,,,,,,,,,,,,,,,
975217,3/5/14,Search - Paid,,,,,,,,,,,,,,,,,,,
1129016,2/28/14,,,,,,,,,,,,,,,,,,,,
1072402,2/27/14,Search - Paid,,,,,,,,,,,,,,,,,,,
1032847,2/26/14,,,,,,,,,,,,,,,,,,,,
382533,2/16/14,,Desktop,,,,,,,,,,,,,,,,,,
771539,2/4/14,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
770103,2/2/14,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
9110,2/1/14,Other,,,,,,,,,,,,,,,,,,,
638881,1/26/14,,Phone,,,,,,,,,,,,,,,,,,
69663,1/17/14,,Phone,,,,,,,,,,,,,,,,,,
18261,1/13/14,,Desktop,,,,,,,,,,,,,,,,,,
19939,1/12/14,Search - Paid,,,,,,,,,,,,,,,,,,,
929585,1/9/14,,,,,,,,,,,,,,,,,,,,
45753,1/8/14,Social - Paid,,,,,,,,,,,,,,,,,,,
462121,1/6/14,,,,,,,,,,,,,,,,,,,,
494797,1/4/14,,,,,,,,,,,,,,,,,,,,
7702,12/27/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
151094,12/22/13,Other,Desktop,,,,,,,,,,,,,,,,,,
443929,12/21/13,,,,,,,,,,,,,,,,,,,,
15974,12/21/13,,Desktop,,,,,,,,,,,,,,,,,,
293218,12/19/13,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
190960,12/17/13,Display - Acquisition,,,,,,,,,,,,,,,,,,,
437524,12/11/13,,,,,,,,,,,,,,,,,,,,
441382,12/7/13,,,,,,,,,,,,,,,,,,,,
305838,12/7/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
119974,12/1/13,,,,,,,,,,,,,,,,,,,,
271150,11/28/13,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
784089,11/26/13,,Desktop,,,,,,,,,,,,,,,,,,
913409,11/13/13,,,,,,,,,,,,,,,,,,,,
574804,11/8/13,,,,,,,,,,,,,,,,,,,,
957267,11/7/13,Search - Paid,,,,,,,,,,,,,,,,,,,
182445,11/7/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
913909,11/5/13,,,,,,,,,,,,,,,,,,,,
609436,10/31/13,Search - Organic,Phone,,,,,,,,,,,,,,,,,,
491024,10/14/13,Search - Paid,,,,,,,,,,,,,,,,,,,
681306,10/12/13,,,,,,,,,,,,,,,,,,,,
1135805,10/9/13,,,,,,,,,,,,,,,,,,,,
121021,10/7/13,Social - Paid,Desktop,,,,,,,,,,,,,,,,,,
118302,10/5/13,Social - Paid,Phone,,,,,,,,,,,,,,,,,,
295398,10/1/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
600576,9/30/13,Search - Organic,Phone,,,,,,,,,,,,,,,,,,
1142671,9/26/13,,,,,,,,,,,,,,,,,,,,
453995,8/29/13,Search - Organic,,,,,,,,,,,,,,,,,,,
133786,8/28/13,,,,,,,,,,,,,,,,,,,,
66882,8/26/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
448541,8/21/13,Search - Paid,,,,,,,,,,,,,,,,,,,
1154659,8/20/13,Search - Paid,,,,,,,,,,,,,,,,,,,
370285,8/17/13,Social - Paid,Tablet,,,,,,,,,,,,,,,,,,
17981,8/16/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
794666,8/14/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
681104,8/10/13,Display - Acquisition,Desktop,,,,,,,,,,,,,,,,,,
27902,8/3/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
698979,8/2/13,,,,,,,,,,,,,,,,,,,,
898554,8/1/13,Search - Organic,,,,,,,,,,,,,,,,,,,
26323,7/30/13,Search - Paid,,,,,,,,,,,,,,,,,,,
483072,7/26/13,,,,,,,,,,,,,,,,,,,,
301134,7/26/13,,,,,,,,,,,,,,,,,,,,
761546,7/25/13,Search - Paid,Tablet,,,,,,,,,,,,,,,,,,
498394,7/22/13,,,,,,,,,,,,,,,,,,,,
1066447,7/19/13,,,,,,,,,,,,,,,,,,,,
958400,7/13/13,Search - Paid,,,,,,,,,,,,,,,,,,,
29311,7/12/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
19369,7/1/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
63602,6/24/13,Search - Paid,,,,,,,,,,,,,,,,,,,
28636,6/23/13,,Desktop,,,,,,,,,,,,,,,,,,
188731,6/19/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
1046179,6/13/13,Search - Paid,,,,,,,,,,,,,,,,,,,
393544,6/13/13,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
243833,6/6/13,Search - Paid,,,,,,,,,,,,,,,,,,,
7673,6/2/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
256803,6/1/13,Comparison Shopping,,,,,,,,,,,,,,,,,,,
382152,5/29/13,Search - Organic,,,,,,,,,,,,,,,,,,,
265105,5/28/13,,Desktop,,,,,,,,,,,,,,,,,,
138779,5/23/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
48685,5/21/13,,,,,,,,,,,,,,,,,,,,
77300,5/15/13,,,,,,,,,,,,,,,,,,,,
876251,5/14/13,Display - Acquisition,Phone,,,,,,,,,,,,,,,,,,
645036,5/12/13,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
693138,5/9/13,Search - Paid,,,,,,,,,,,,,,,,,,,
1036051,5/2/13,Comparison Shopping,,,,,,,,,,,,,,,,,,,
947223,5/2/13,,,,,,,,,,,,,,,,,,,,
183795,5/2/13,,Desktop,,,,,,,,,,,,,,,,,,
33058,4/29/13,Search - Paid,,,,,,,,,,,,,,,,,,,
429460,4/21/13,Social - Paid,Tablet,,,,,,,,,,,,,,,,,,
50408,4/19/13,Search - Paid,,,,,,,,,,,,,,,,,,,
290309,4/16/13,Search - Organic,,,,,,,,,,,,,,,,,,,
1056024,4/15/13,,,,,,,,,,,,,,,,,,,,
78068,4/14/13,Other,,,,,,,,,,,,,,,,,,,
320890,3/24/13,,Desktop,,,,,,,,,,,,,,,,,,
74044,3/17/13,Search - Paid,Phone,,,,,,,,,,,,,,,,,,
64945,3/12/13,Search - Paid,,,,,,,,,,,,,,,,,,,
121552,3/6/13,Other,,,,,,,,,,,,,,,,,,,
715040,3/4/13,Comparison Shopping,,,,,,,,,,,,,,,,,,,
139119,3/2/13,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
325378,2/28/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
320076,2/28/13,Search - Organic,Desktop,,,,,,,,,,,,,,,,,,
105918,2/28/13,Search - Organic,,,,,,,,,,,,,,,,,,,
209112,2/26/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
66470,2/22/13,,,,,,,,,,,,,,,,,,,,
337294,2/20/13,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
434343,2/16/13,Search - Paid,,,,,,,,,,,,,,,,,,,
527877,2/14/13,Other,Phone,,,,,,,,,,,,,,,,,,
209116,2/13/13,Search - Organic,,,,,,,,,,,,,,,,,,,
237877,2/9/13,Comparison Shopping,,,,,,,,,,,,,,,,,,,
44172,2/9/13,,,,,,,,,,,,,,,,,,,,
142681,1/28/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
48590,1/23/13,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
799506,1/16/13,,Desktop,,,,,,,,,,,,,,,,,,
124656,1/13/13,Search - Paid,,,,,,,,,,,,,,,,,,,
446254,1/11/13,,,,,,,,,,,,,,,,,,,,
542138,1/8/13,Display - Acquisition,Phone,,,,,,,,,,,,,,,,,,
253115,1/6/13,Search - Paid,,,,,,,,,,,,,,,,,,,
554065,12/30/12,Comparison Shopping,,,,,,,,,,,,,,,,,,,
268976,12/27/12,Comparison Shopping,Desktop,,,,,,,,,,,,,,,,,,
239078,12/27/12,Search - Paid,,,,,,,,,,,,,,,,,,,
1161670,12/24/12,Search - Organic,,,,,,,,,,,,,,,,,,,
47406,12/19/12,,,,,,,,,,,,,,,,,,,,
637302,12/18/12,,Phone,,,,,,,,,,,,,,,,,,
213617,12/13/12,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
919472,12/12/12,Search - Organic,,,,,,,,,,,,,,,,,,,
668056,12/12/12,,Phone,,,,,,,,,,,,,,,,,,
454056,12/12/12,Search - Organic,,,,,,,,,,,,,,,,,,,
255934,12/12/12,Search - Organic,,,,,,,,,,,,,,,,,,,
11749,12/12/12,,Desktop,,,,,,,,,,,,,,,,,,
45778,12/9/12,Search - Paid,Desktop,,,,,,,,,,,,,,,,,,
